,Title,Latitude,Longitude,Profit_Return
151,Blue Valentine,41.5767552,-75.25878709999999,16.56624
152,Blue Valentine,40.1012856,-75.3835525,16.56624
153,Blue Valentine,40.0415996,-75.3698895,16.56624
154,Blue Valentine,40.7127753,-74.0059728,16.56624
155,Blue Valentine,40.6781784,-73.9441579,16.56624
156,Blue Valentine,40.7830603,-73.9712488,16.56624
157,Blue Valentine,41.5741932,-75.26131459999999,16.56624
158,Blue Valentine,40.7282239,-73.7948516,16.56624
159,Bohemian Rhapsody,51.7220861,-0.5491522999999999,16.272460763636364
160,Bohemian Rhapsody,51.4841241,-0.3287114,16.272460763636364
161,Bohemian Rhapsody,51.3716269,-0.457904,16.272460763636364
162,Bohemian Rhapsody,51.3853664,-0.3063521,16.272460763636364
163,Bohemian Rhapsody,51.5038011,-0.09806419999999999,16.272460763636364
164,Bohemian Rhapsody,51.5073509,-0.1277583,16.272460763636364
165,Bohemian Rhapsody,22.3193039,114.1693611,16.272460763636364
166,Bohemian Rhapsody,51.5788297,-0.1222021,16.272460763636364
167,Bohemian Rhapsody,48.1351253,11.5819805,16.272460763636364
168,Bohemian Rhapsody,48.138631,11.5736254,16.272460763636364
169,Bohemian Rhapsody,52.3555177,-1.1743197,16.272460763636364
170,Bohemian Rhapsody,48.7904472,11.4978895,16.272460763636364
171,Bohemian Rhapsody,55.378051,-3.435973,16.272460763636364
172,Bohemian Rhapsody,51.165691,10.451526,16.272460763636364
173,Bohemian Rhapsody,51.44458100000001,-0.335246,16.272460763636364
174,The Conjuring,35.7595731,-79.01929969999999,15.90000705
175,The Conjuring,34.2103894,-77.8868117,15.90000705
176,The Conjuring,34.426504,-78.14399759999999,15.90000705
177,The Conjuring,34.4626671,-78.1011055,15.90000705
178,Wonder,49.2987281,-122.8411387,15.2302356
179,Wonder,49.2827291,-123.1207375,15.2302356
180,Wonder,49.2367467,-123.1360404,15.2302356
181,Wonder,49.28164169999999,-123.0362188,15.2302356
182,Wonder,49.2819295,-123.1219182,15.2302356
183,Wonder,40.7830603,-73.9712488,15.2302356
184,Wonder,40.5755438,-73.9707016,15.2302356
185,Wonder,49.2829607,-123.1204715,15.2302356
186,Wonder,41.7787791,-87.71540309999999,15.2302356
187,Wonder,40.7724641,-73.9834889,15.2302356
188,Wonder,40.6710672,-73.98142279999999,15.2302356
189,Wonder,40.7579747,-73.9855426,15.2302356
190,The Imitation Game,50.9473004,-2.517117,15.182697533333334
191,The Imitation Game,51.91581799999999,-1.136398,15.182697533333334
192,The Imitation Game,51.709401,-0.612333,15.182697533333334
193,The Imitation Game,51.5320013,-0.1233234,15.182697533333334
194,The Imitation Game,50.9473004,-2.517117,15.182697533333334
195,The Imitation Game,51.9976597,-0.7406863,15.182697533333334
196,The Imitation Game,51.5175079,-0.1199355,15.182697533333334
197,The Imitation Game,51.5737315,-0.9890414999999999,15.182697533333334
198,The Imitation Game,51.5073509,-0.1277583,15.182697533333334
199,The Imitation Game,51.509564,-0.397815,15.182697533333334
200,Like Crazy,51.5073509,-0.1277583,14.9136
201,Like Crazy,33.3428193,-118.3282279,14.9136
202,Like Crazy,34.0522342,-118.2436849,14.9136
203,Like Crazy,34.0099215,-118.4960063,14.9136
204,Like Crazy,34.2410366,-118.5276745,14.9136
205,Like Crazy,33.9436059,-118.4093731,14.9136
206,Dragon Ball Super: Broly,35.6761919,139.6503106,14.440912352941176
207,Boyhood,30.267153,-97.7430608,14.31826225
208,Boyhood,30.3080239,-98.2576738,14.31826225
209,Boyhood,29.8832749,-97.9413941,14.31826225
210,Boyhood,29.7604267,-95.3698028,14.31826225
211,Boyhood,29.4703682,-103.95784,14.31826225
212,Boyhood,29.7221004,-95.389614,14.31826225
213,Boyhood,29.321586,-103.6160191,14.31826225
214,Boyhood,29.7572694,-95.3555143,14.31826225
215,Boyhood,30.0873153,-97.501432,14.31826225
216,Boyhood,30.3636948,-103.6497628,14.31826225
217,Boyhood,29.2499017,-103.2501638,14.31826225
218,Boyhood,30.3636948,-103.6497628,14.31826225
219,Boyhood,31.9685988,-99.9018131,14.31826225
220,Boyhood,29.721477,-95.38972369999999,14.31826225
221,Boyhood,30.3290019,-97.73149959999999,14.31826225
222,Boyhood,30.2109429,-97.8784053,14.31826225
223,Boyhood,30.3584919,-103.6610115,14.31826225
224,Boyhood,37.09024,-95.712891,14.31826225
225,Green Book,30.140658,-90.935071,14.001497347826087
226,Green Book,29.93991329999999,-90.11889939999999,14.001497347826087
227,Green Book,29.90633589999999,-89.9543927,14.001497347826087
228,Green Book,30.3615474,-90.05857089999999,14.001497347826087
229,Green Book,40.7651258,-73.97992359999999,14.001497347826087
230,Green Book,29.9512357,-90.06892769999999,14.001497347826087
231,Green Book,29.974471,-90.1570814,14.001497347826087
232,Green Book,29.967103,-90.076661,14.001497347826087
233,Green Book,29.9602875,-90.0640176,14.001497347826087
234,Green Book,29.9568518,-90.0713887,14.001497347826087
235,Green Book,30.5042309,-90.45946939999999,14.001497347826087
236,Green Book,29.954465,-90.072813,14.001497347826087
237,Green Book,29.9543428,-90.0722983,14.001497347826087
238,Green Book,30.7265747,-90.50898149999999,14.001497347826087
239,Green Book,29.9603297,-90.06279819999999,14.001497347826087
240,Green Book,29.95654439999999,-90.0725806,14.001497347826087
241,Green Book,32.8406946,-83.6324022,14.001497347826087
242,Green Book,29.926624,-90.10594359999999,14.001497347826087
243,Green Book,30.9842977,-91.96233269999999,14.001497347826087
244,Green Book,30.1388095,-90.9239868,14.001497347826087
245,Green Book,29.9584426,-90.0644107,14.001497347826087
246,Green Book,29.95106579999999,-90.0715323,14.001497347826087
247,Green Book,30.5043583,-90.46119949999999,14.001497347826087
248,Green Book,29.9840922,-90.1528519,14.001497347826087
249,Green Book,37.09024,-95.712891,14.001497347826087
250,Deadpool,49.2827291,-123.1207375,13.810786086206896
251,Deadpool,49.28305140000001,-123.099956,13.810786086206896
252,Deadpool,48.4342047,-123.4739689,13.810786086206896
253,Deadpool,42.331427,-83.0457538,13.810786086206896
254,Deadpool,49.2771839,-123.1050337,13.810786086206896
255,Deadpool,56.130366,-106.346771,13.810786086206896
